station,variable,year,month,month_num,value
Astore,max_temp,1984,January,1,1.7
Astore,max_temp,1984,February,2,2.0
Astore,max_temp,1984,March,3,10.8
Astore,max_temp,1984,April,4,14.2
Astore,max_temp,1984,May,5,18.4
Astore,max_temp,1984,June,6,26.6
Astore,max_temp,1984,July,7,26.1
Astore,max_temp,1984,August,8,29.7
Astore,max_temp,1984,September,9,20.9
Astore,max_temp,1984,October,10,17.7
Astore,max_temp,1984,November,11,8.6
Astore,max_temp,1984,December,12,4.1
Astore,max_temp,1985,January,1,1.6
Astore,max_temp,1985,February,2,6.0
Astore,max_temp,1985,March,3,12.1
Astore,max_temp,1985,April,4,16.9
Astore,max_temp,1985,May,5,18.6
Astore,max_temp,1985,June,6,23.5
Astore,max_temp,1985,July,7,29.1
Astore,max_temp,1985,August,8,27.3
Astore,max_temp,1985,September,9,23.7
Astore,max_temp,1985,October,10,16.8
Astore,max_temp,1985,November,11,10.9
Astore,max_temp,1985,December,12,3.4
Astore,max_temp,1986,January,1,1.0
Astore,max_temp,1986,February,2,2.9
Astore,max_temp,1986,March,3,5.6
Astore,max_temp,1986,April,4,12.6
Astore,max_temp,1986,May,5,18.2
Astore,max_temp,1986,June,6,21.7
Astore,max_temp,1986,July,7,27.0
Astore,max_temp,1986,August,8,24.9
Astore,max_temp,1986,September,9,22.5
Astore,max_temp,1986,October,10,18.6
Astore,max_temp,1986,November,11,9.6
Astore,max_temp,1986,December,12,2.2
Astore,max_temp,1987,January,1,1.9
Astore,max_temp,1987,February,2,4.5
Astore,max_temp,1987,March,3,9.5
Astore,max_temp,1987,April,4,14.7
Astore,max_temp,1987,May,5,17.7
Astore,max_temp,1987,June,6,22.2
Astore,max_temp,1987,July,7,24.7
Astore,max_temp,1987,August,8,27.2
Astore,max_temp,1987,September,9,24.7
Astore,max_temp,1987,October,10,13.4
Astore,max_temp,1987,November,11,12.5
Astore,max_temp,1987,December,12,7.3
Astore,max_temp,1988,January,1,3.4
Astore,max_temp,1988,February,2,4.3
Astore,max_temp,1988,March,3,7.2
Astore,max_temp,1988,April,4,16.6
Astore,max_temp,1988,May,5,21.2
Astore,max_temp,1988,June,6,23.6
Astore,max_temp,1988,July,7,27.4
Astore,max_temp,1988,August,8,25.6
Astore,max_temp,1988,September,9,24.0
Astore,max_temp,1988,October,10,16.7
Astore,max_temp,1988,November,11,13.7
Astore,max_temp,1988,December,12,7.0
Astore,max_temp,1989,January,1,2.3
Astore,max_temp,1989,February,2,3.0
Astore,max_temp,1989,March,3,8.9
Astore,max_temp,1989,April,4,13.4
Astore,max_temp,1989,May,5,16.7
Astore,max_temp,1989,June,6,22.5
Astore,max_temp,1989,July,7,23.9
Astore,max_temp,1989,August,8,23.4
Astore,max_temp,1989,September,9,23.9
Astore,max_temp,1989,October,10,18.6
Astore,max_temp,1989,November,11,9.4
Astore,max_temp,1989,December,12,6.1
Astore,max_temp,1990,January,1,4.6
Astore,max_temp,1990,February,2,3.7
